PWR: 1209.107 | HEx1: 5.010 | HEx2: 3.015 | HEx3: 3.061 | C1: 0.564 | C2: 2.270 | C3: 1.661 | C4: 0.026 | C6: 0.502 | C7: 2.484 | T1: -16.233 | T2: -64.621 | P1: 407.781 | P2: 2285.000 
PWR: 1241.428 | HEx1: 6.461 | HEx2: 2.859 | HEx3: 2.919 | C1: 0.568 | C2: 2.285 | C3: 1.708 | C4: 0.001 | C6: 0.488 | C7: 2.082 | T1: -15.068 | T2: -65.944 | P1: 413.154 | P2: 2284.871 
PWR: 1200.885 | HEx1: 4.857 | HEx2: 2.868 | HEx3: 2.907 | C1: 0.564 | C2: 2.270 | C3: 1.661 | C4: 0.026 | C6: 0.502 | C7: 2.484 | T1: -16.233 | T2: -64.621 | P1: 411.900 | P2: 2285.000 
PWR: 1211.981 | HEx1: 5.305 | HEx2: 3.382 | HEx3: 2.993 | C1: 0.552 | C2: 2.341 | C3: 1.662 | C4: 0.008 | C6: 0.509 | C7: 2.493 | T1: -16.576 | T2: -64.601 | P1: 413.136 | P2: 2284.753 
PWR: 1208.344 | HEx1: 5.220 | HEx2: 3.127 | HEx3: 3.021 | C1: 0.567 | C2: 2.300 | C3: 1.672 | C4: 0.014 | C6: 0.493 | C7: 2.484 | T1: -16.478 | T2: -64.861 | P1: 412.295 | P2: 2289.825 
PWR: 1215.807 | HEx1: 5.588 | HEx2: 3.329 | HEx3: 3.025 | C1: 0.570 | C2: 2.329 | C3: 1.684 | C4: 0.001 | C6: 0.484 | C7: 2.483 | T1: -16.722 | T2: -65.100 | P1: 412.691 | P2: 2294.650 
PWR: 1214.285 | HEx1: 5.511 | HEx2: 3.261 | HEx3: 3.090 | C1: 0.569 | C2: 2.321 | C3: 1.683 | C4: 0.007 | C6: 0.487 | C7: 2.483 | T1: -16.645 | T2: -65.098 | P1: 412.628 | P2: 2294.380 
PWR: 1215.807 | HEx1: 5.588 | HEx2: 3.329 | HEx3: 3.025 | C1: 0.570 | C2: 2.329 | C3: 1.684 | C4: 0.001 | C6: 0.484 | C7: 2.483 | T1: -16.722 | T2: -65.100 | P1: 412.691 | P2: 2294.650 
PWR: 1216.737 | HEx1: 5.632 | HEx2: 3.313 | HEx3: 3.031 | C1: 0.570 | C2: 2.330 | C3: 1.687 | C4: 0.004 | C6: 0.484 | C7: 2.483 | T1: -16.714 | T2: -65.197 | P1: 412.766 | P2: 2296.260 
PWR: 1219.190 | HEx1: 5.753 | HEx2: 3.363 | HEx3: 2.972 | C1: 0.571 | C2: 2.339 | C3: 1.692 | C4: 0.001 | C6: 0.481 | C7: 2.483 | T1: -16.783 | T2: -65.295 | P1: 412.903 | P2: 2298.140 
